1,7/1/2005 0:00,USD,ARS,1,1.0002
2,7/1/2005 0:00,USD,AUD,1.5491,1.55
3,7/1/2005 0:00,USD,BRL,1.9379,1.9419
4,7/1/2005 0:00,USD,CAD,1.4641,1.4683
5,7/1/2005 0:00,USD,CNY,8.2781,8.2784
6,7/1/2005 0:00,USD,DEM,1.8967,1.8976
7,7/1/2005 0:00,USD,EUR,0.9697,0.9703
8,7/1/2005 0:00,USD,FRF,6.3611,6.3613
9,7/1/2005 0:00,USD,GBP,0.6183,0.6183
10,7/1/2005 0:00,USD,JPY,104.91,104.958
11,7/1/2005 0:00,USD,MXN,9.374,9.384
12,7/1/2005 0:00,USD,SAR,3.7507,3.7584
13,7/1/2005 0:00,USD,VEB,634.5099,634.6
14,7/2/2005 0:00,USD,ARS,1,0.9991
15,7/2/2005 0:00,USD,AUD,1.5559,1.5558
16,7/2/2005 0:00,USD,BRL,1.9339,1.933
17,7/2/2005 0:00,USD,CAD,1.4661,1.4637
18,7/2/2005 0:00,USD,CNY,8.2781,8.2774
19,7/2/2005 0:00,USD,DEM,1.8924,1.8922
20,7/2/2005 0:00,USD,EUR,0.9676,0.967
21,7/2/2005 0:00,USD,FRF,6.3468,6.3465
22,7/2/2005 0:00,USD,GBP,0.6166,0.6162
23,7/2/2005 0:00,USD,JPY,105.7,105.674
24,7/2/2005 0:00,USD,MXN,9.3949,9.3919
25,7/2/2005 0:00,USD,SAR,3.7507,3.7507
26,7/2/2005 0:00,USD,VEB,634.25,634.24
27,7/3/2005 0:00,USD,ARS,1,1.0004
28,7/3/2005 0:00,USD,AUD,1.5592,1.5597
29,7/3/2005 0:00,USD,BRL,1.9359,1.944
30,7/3/2005 0:00,USD,CAD,1.4672,1.4734
31,7/3/2005 0:00,USD,CNY,8.2781,8.2789
32,7/3/2005 0:00,USD,DEM,1.8796,1.8802
33,7/3/2005 0:00,USD,EUR,0.961,0.9615
34,7/3/2005 0:00,USD,FRF,6.3041,6.3041
35,7/3/2005 0:00,USD,GBP,0.6156,0.6163
36,7/3/2005 0:00,USD,JPY,105.53,105.604
37,7/3/2005 0:00,USD,MXN,9.355,9.355
38,7/3/2005 0:00,USD,SAR,3.7505,3.757
39,7/3/2005 0:00,USD,VEB,634.75,634.7999
40,7/4/2005 0:00,USD,ARS,1,1
41,7/4/2005 0:00,USD,AUD,1.5645,1.5634
42,7/4/2005 0:00,USD,BRL,1.9295,1.925
43,7/4/2005 0:00,USD,CAD,1.4672,1.4609
44,7/4/2005 0:00,USD,CNY,8.2783,8.2782
